source_id,title,type,url_or_doi,version,license,authority_level,review_status,reviewer,review_date,claim_ids,notes,organization_or_owner,jurisdiction_or_scope,publication_date,last_verified,review_due,claim_scope,evidence_boundary,limitations,affected_files,replacement_source_or_escalation_path,status
SRC-WMH-DATASET-OFFICIAL,Data of the White Matter Hyperintensity Segmentation Challenge,dataset,doi:10.34894/AECRSD,Dataverse release 1.0; publication_date=2022-12-21; downloaded=2026-06-16T21:49:48Z,CC-BY-NC-4.0,primary,EVIDENCE_CAPTURED_NEEDS_HUMAN_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-DATASET-IDENTITY,"Dataverse metadata and local download evidence captured: 1791 files, 1791 SHA256 entries, size check passed. Terms/license and allowed-use interpretation still require human source/license review.",DataverseNL / UMC Utrecht WMH Challenge organizers,WMH2017 public research dataset / method source only,2022-12-21,2026-06-18,BEFORE_USE_FOR_CLAIM,CLAIM-DATASET-IDENTITY,Supports dataset identity/download-integrity evidence after human review; does not authorize commercial/customer/clinical/release claims.,"CC-BY-NC and challenge terms require human legal/source review before commercial, customer-facing, or non-challenge reuse. Raw data is not included in this code package.",evidence/wmh2017_download_2026-06-16/*;docs/wmh2017_download_evidence_2026-06-16.md;registry/source_register_wmh2017.csv,Assign source/license reviewer before source-dependent claims,EVIDENCE_CAPTURED_NEEDS_HUMAN_REVIEW
SRC-WMH-README-2022,WMH segmentation challenge readme,documentation,evidence/wmh2017_download_2026-06-16/readme.pdf,December 2022 readme captured with download evidence,TERMS_REVIEW_REQUIRED,primary,EVIDENCE_CAPTURED_NEEDS_HUMAN_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-DATASET-STRUCTURE,Readme captured as evidence. It documents training/test structure and label policy; human review still required before claims.,WMH Challenge / UMC Utrecht,WMH2017 public research dataset / method source only,December 2022,2026-06-18,BEFORE_USE_FOR_CLAIM,CLAIM-DATASET-STRUCTURE,Supports structure/label/evaluation-protocol interpretation after human review only.,Parsed/readme facts must be reviewed; document states some links may be outdated.,evidence/wmh2017_download_2026-06-16/readme.pdf;docs/wmh2017_download_evidence_2026-06-16.md;registry/source_register_wmh2017.csv,Assign source/evidence reviewer before benchmark or external claims,EVIDENCE_CAPTURED_NEEDS_HUMAN_REVIEW
SRC-WMH-CHALLENGE-PAPER-2019,Standardized Assessment of Automatic Segmentation of White Matter Hyperintensities and Results of the WMH Segmentation Challenge,paper,doi:10.1109/TMI.2019.2905770,2019 TMI publication,UNVERIFIED_SOURCE_DETAIL,primary,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-EVAL-PROTOCOL,Citation present in Dataverse metadata/readme. Paper itself not packaged or reviewed; benchmark comparison remains blocked.,UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,2019,2026-06-18,BEFORE_USE_FOR_CLAIM,CLAIM-EVAL-PROTOCOL,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_EVIDENCE_REVIEW
SRC-WMH-EVAL-CODE,Official WMH evaluation code,code,https://github.com/hjkuijf/wmhchallenge,URL captured from Dataverse metadata; exact evaluator code/hash not yet captured,UNVERIFIED_SOURCE_DETAIL,primary,NEEDS_EVALUATOR_HASH_AND_PARITY_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-METRIC-COMPATIBILITY,"Dataverse metadata points to hjkuijf/wmhchallenge. Official evaluator must be fetched, license-reviewed, hashed, and parity-tested before official-comparable claims.",UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,UNVERIFIED_SOURCE_DETAIL,2026-06-18,BEFORE_USE_FOR_CLAIM,CLAIM-METRIC-COMPATIBILITY,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_EVALUATOR_HASH_AND_PARITY_REVIEW
SRC-LI-FCN-ENSEMBLE-2018,Winner FCN ensemble method paper,paper,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,source_report,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-WINNER-METHOD,"Fill DOI/arXiv/code source after verification; do not treat as reproduced result | Claim use is blocked until source detail, license, reviewer, and review_date are completed.",UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,UNVERIFIED_SOURCE_DETAIL,NOT_REVIEWED,BEFORE_USE_FOR_CLAIM,CLAIM-WINNER-METHOD,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_EVIDENCE_REVIEW
SRC-HONGWEI-WMH-IBBMTUM,Winner reproduction or released implementation,code/model,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_LICENSE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-WINNER-REPRO,"Verify license model provenance and exact relation to winning submission | Claim use is blocked until source detail, license, reviewer, and review_date are completed.",UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,UNVERIFIED_SOURCE_DETAIL,NOT_REVIEWED,BEFORE_USE_FOR_CLAIM,CLAIM-WINNER-REPRO,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_LICENSE_REVIEW
SRC-ANTSXNET-SYSUMEDIA,ANTsXNet/ANTsRNet sysu_media wrapper,code/model,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-WINNER-INFERENCE_REFERENCE,"Useful as inference reference only; not official implementation unless source proves it | Claim use is blocked until source detail, license, reviewer, and review_date are completed.",UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,UNVERIFIED_SOURCE_DETAIL,NOT_REVIEWED,BEFORE_USE_FOR_CLAIM,CLAIM-WINNER-INFERENCE_REFERENCE,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_EVIDENCE_REVIEW
SRC-MONAI-DOCS,MONAI documentation,framework_docs,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-MONAI-BASELINE,"Record exact version used in env | Claim use is blocked until source detail, license, reviewer, and review_date are completed.",UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,UNVERIFIED_SOURCE_DETAIL,NOT_REVIEWED,BEFORE_USE_FOR_CLAIM,CLAIM-MONAI-BASELINE,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_EVIDENCE_REVIEW
SRC-NNUNETV2-DOCS,nnU-Net v2 documentation,framework_docs,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,UNVERIFIED_SOURCE_DETAIL,implementation_reference,NEEDS_EVIDENCE_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-NNUNET-BASELINE,"Record exact version and planning settings | Claim use is blocked until source detail, license, reviewer, and review_date are completed.",UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,UNVERIFIED_SOURCE_DETAIL,NOT_REVIEWED,BEFORE_USE_FOR_CLAIM,CLAIM-NNUNET-BASELINE,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_EVIDENCE_REVIEW
SRC-LOCAL-DOWNLOAD-RECORD,Local WMH2017 download record,local_evidence,download_record.txt,2026-06-16,not_a_license,local_evidence,NEEDS_HUMAN_REVIEW,UNASSIGNED_HUMAN_REVIEWER,NOT_REVIEWED,CLAIM-DOWNLOAD-INTEGRITY,"1791 downloaded files and SHA256 entries reported in provided evidence | Claim use is blocked until source detail, license, reviewer, and review_date are completed.",UNVERIFIED_SOURCE_DETAIL,WMH2017 public research dataset / method source only,2026-06-16,NOT_REVIEWED,BEFORE_USE_FOR_CLAIM,CLAIM-DOWNLOAD-INTEGRITY,Source supports only its listed claim_ids after human review; no clinical/customer/regulatory approval,"Unreviewed until reviewer, license, exact URL/DOI, and review date are complete",registry/source_register_wmh2017.csv;docs/source_license_review_checklist.md,Assign source/license reviewer or remove claim,NEEDS_HUMAN_REVIEW
