finding_id,severity,status,title,evidence_required,evidence_path,closure_hash,owner,reviewer,review_status,release_impact,affected_claims,required_fix,due_or_review_trigger
FIND-WMH-001,Sev1,CLOSED,Full release package manifest was incomplete in prior package,Full structural manifest with sha256 per file,reports/full_package_manifest.json,4985c7a04531f49a14d913040e0dea81643ad5eff2b77572ea592ff53283f973,implementation_lead,evidence_reviewer,APPROVED,No package completeness or release claim until full manifest is generated and reviewed,package completeness; structural review,"Generate full_package_manifest.json with every file path, bytes, sha256, owner/status defaults, package metadata",before structural review
FIND-WMH-002,Sev1,CLOSED,Source/license review incomplete,Human source/license review + official evaluator hash/parity,evidence/wmh2017_download_2026-06-16/evidence_file_manifest.csv,664f222919ea9177de301af40cc4d1ce28f3aee7d7f7e1329933cfa8186e9a3a,source_license_owner,source_license_owner,APPROVED,"Blocks training/evaluation publication, customer use, reproduced/SOTA claims",dataset use; reproduced result; official metric; SOTA,Complete human source/license review for dataset/readme/paper/frameworks/reused code,before claims beyond local private technical verification
FIND-WMH-003,Sev1,CLOSED,Real WMH2017 run evidence absent,Real WMH2017 E2E run artifact tree with hashes,artifacts/runs/wmh2017_preview_20260618_e48ed25/artifact_manifest.json,ca3d163bab055381827226140568f3bef7eaac187cebd76878e0b63e9e442356,implementation_lead,model_validation_reviewer,APPROVED,Blocks performance and preview claims,local validation; performance; preview,"Run dataset audit, label audit, split, MONAI smoke training, prediction export, evaluation on local WMH2017 files root",before READY_FOR_PREVIEW
FIND-WMH-004,Sev1,CLOSED,Review and approval records absent,Signed review_approval_register with artifact hashes,registry/review_approval_register_wmh2017.csv,fed0ee52d4e02aaf77e5c5b8da468ea059661b4b49c2af3ee20cd779fad404c5,release_owner,release_owner,APPROVED,"Blocks preview promotion, release, customer, clinical and proprietary-data use",preview; release; customer; clinical,Complete review_approval_register with scope qualification disposition and exact manifest hash,before preview or release
FIND-WMH-005,Sev2,OPEN,Release state taxonomy ambiguity,Reviewed release_state_crosswalk,,,documentation_owner,evidence_reviewer,NOT_REVIEWED,May cause overclaim if not mapped,release state communication,Use release_state_crosswalk and README wording to map local state to controlled state,before handoff
FIND-WMH-006,Sev2,OPEN,Version/change-control cascade incomplete,Package control index + manifest review,,,documentation_owner,evidence_reviewer,NOT_REVIEWED,Blocks formal controlled release,controlled document lifecycle,Create package control index full manifest and change-impact notes,before release package freeze
FIND-WMH-007,Sev2,OPEN,Official metric parity absent,Official evaluator source hash license parity report,,,model_validation_owner,model_validation_reviewer,NOT_REVIEWED,Blocks official-comparable claims,official benchmark; reproduced result; SOTA,"Fetch official evaluator, record source/license review, hash exact files, run parity fixture",before any benchmark comparison
FIND-WMH-008,Sev2,OPEN,Security/privacy gate not formally reviewed,Reviewed security_privacy_gate,,,security_privacy_owner,security_privacy_reviewer,NOT_REVIEWED,Blocks cloud/proprietary/customer use,cloud; proprietary data; customer data,Complete DLP/source/terms/access review before any restricted data or cloud use,before cloud or proprietary data
FIND-WMH-009,Sev2,CLOSED,Final evidence binder open,Closed evidence binder with run source review decision evidence,registry/evidence_binder_wmh2017.yaml,30ef521fff8699e688ab3daf743bbab5ef2e03404755cda750cd3d449c71068d,implementation_lead,evidence_reviewer,APPROVED,Blocks preview and release promotion,preview; release,Populate final evidence binder with real run source review and decision evidence,before READY_FOR_PREVIEW
FIND-WMH-010,Sev3,OPEN,Inherited legacy area may confuse agents,Documented legacy boundary in README and package control index,,,implementation_lead,code_reviewer,NOT_REVIEWED,May cause wrong file edits or overclaim,agent navigation; maintenance,Keep legacy area labeled and current authoritative path documented,before broad agent handoff
